cust_id,P(Purchase),PSIM,cust_type
95919954,1,0.520946501,Target
93349625,1,0.520590401,Target
90459982,1,0.520121303,Target
46439894,1,0.519762528,Target
82629825,1,0.519670895,Target
40809617,1,0.519568077,Target
7329826,1,0.519359129,Target
48769937,1,0.519297535,Target
73619899,1,0.518950063,Target
95299609,1,0.51806922,Target
63399975,1,0.518068603,Target
33099958,1,0.517920813,Target
18979976,1,0.517824975,Target
71829568,1,0.517347715,Target
45379982,1,0.517284356,Target
80929858,1,0.517219165,Target
73579859,1,0.516953711,Target
8279980,1,0.516919374,Target
96559580,1,0.516417905,Target
26609625,1,0.515932328,Target
85969765,1,0.51562185,Target
7389984,1,0.515210792,Target
2689745,1,0.514946846,Target
98119644,1,0.513861371,Target
8209651,1,0.513857171,Target
1979644,1,0.513154411,Target
90839815,1,0.513064171,Target
37529902,1,0.513045347,Target
22729922,1,0.512976343,Target
9739628,1,0.512967846,Target
13439985,1,0.51294044,Target
34639982,1,0.512657611,Target
99199851,1,0.510425755,Target
5019544,1,0.510129027,Target
20939796,1,0.509688277,Target
93979814,1,0.509367701,Target
10319811,1,0.509262025,Target
20129679,1,0.508778393,Target
69839807,1,0.508774926,Target
32899755,1,0.508601455,Target
71819885,1,0.507855786,Target
83199794,1,0.507518086,Target
66929615,1,0.507510559,Target
11379727,1,0.507352924,Target
95529877,1,0.506431951,Target
80089949,1,0.506222476,Target
55329632,1,0.505907851,Target
62379912,0.999999999,0.505540324,Target
91489936,1,0.504974867,Target
33369963,1,0.504910531,Target
44109785,1,0.504438571,Target
28109611,1,0.504142329,Target
79719896,1,0.503985911,Target
26169856,1,0.503705766,Target
69799994,1,0.503059261,Target
67529820,1,0.502747954,Target
83679955,1,0.502537737,Target
76579556,1,0.502472895,Target
23259899,1,0.502266764,Target
45409661,1,0.501599161,Target
84789919,1,0.501583204,Target
61339938,1,0.500913322,Target
139662,1,,Baseline
459915,1,,Baseline
7529982,1,,Baseline
9439552,1,,Baseline
15259989,1,,Baseline
16189799,0.212334485,,Baseline
17199977,3.14E-52,,Baseline
17809672,1,,Baseline
17849812,1,,Baseline
19379606,1,,Baseline
19789898,1,,Baseline
22219604,1,,Baseline
23149973,0.000561842,,Baseline
23569586,1.24E-270,,Baseline
25459825,1,,Baseline
26589855,4.06E-175,,Baseline
26949543,1,,Baseline
28389996,4.90E-175,,Baseline
29119924,1,,Baseline
31319598,0,,Baseline
33269822,1,,Baseline
35019716,1,,Baseline
36429784,7.25E-44,,Baseline
36549947,1,,Baseline
36929595,1,,Baseline
37589967,1,,Baseline
38549892,1,,Baseline
40419707,1,,Baseline
41739754,1,,Baseline
46149799,1,,Baseline
46539873,1,,Baseline
48159996,1,,Baseline
50799826,1,,Baseline
54359747,1,,Baseline
54449732,0,,Baseline
54489828,1,,Baseline
54689670,1,,Baseline
54929978,1,,Baseline
58879816,1,,Baseline
59499924,1,,Baseline
59719949,1,,Baseline
60489894,3.92E-129,,Baseline
61889833,1,,Baseline
62129758,1,,Baseline
64309818,1,,Baseline
65769896,1,,Baseline
65849722,1,,Baseline
66079851,1,,Baseline
67619735,1,,Baseline
68009981,1,,Baseline
68589756,1,,Baseline
69379845,1,,Baseline
71969753,1,,Baseline
72819768,1.87E-137,,Baseline
72919657,0,,Baseline
